location,datetime,tempmax,tempmin,humidity,windspeed,winddir,cloudcover,rainfall,10_Cumulative Rainfall,Flood_Severity
Kolhapur District Maharashtra,01-06-2008,30.4,28.1,63.8,3.6,270,40,0,0,0
Kolhapur District Maharashtra,02-06-2008,29.4,27.7,72.9,1.8,270,80,3.9,0,0
Kolhapur District Maharashtra,03-06-2008,27.9,25.4,80.7,3.6,293.4,90,11.9,3.9,0
Kolhapur District Maharashtra,04-06-2008,30.4,27.1,65.2,3.6,270,65,11.4,15.8,0
Kolhapur District Maharashtra,05-06-2008,27.9,27.9,65.7,1.8,270,60,0.2,27.2,0
Kolhapur District Maharashtra,06-06-2008,26.9,26.1,79.1,3.6,270,90,3.8,27.4,0
Kolhapur District Maharashtra,07-06-2008,24.7,24.1,81.6,3.6,270,100,18.2,31.2,0
Kolhapur District Maharashtra,08-06-2008,24.9,22.4,89.7,3.6,270,100,34.8,49.4,0
Kolhapur District Maharashtra,09-06-2008,26.9,24.2,81.2,3.6,270,95,32.9,84.2,0
Kolhapur District Maharashtra,10-06-2008,25.2,24.4,81.9,5.4,245.8,100,19.6,117.1,0
Kolhapur District Maharashtra,11-06-2008,25.9,25.4,82.8,3.6,280,95,15.7,136.7,1
Kolhapur District Maharashtra,12-06-2008,25.1,24.7,87.6,3.6,270,100,47.4,152.4,1
Kolhapur District Maharashtra,13-06-2008,26.4,24.4,81.1,3.6,270,100,20.3,195.9,1
Kolhapur District Maharashtra,14-06-2008,26.1,23.2,83.2,5.4,270,90,13.4,204.3,1
Kolhapur District Maharashtra,15-06-2008,25.4,24.2,86.6,3.6,270,100,46,206.3,1
Kolhapur District Maharashtra,16-06-2008,27.1,27.1,75.1,5.4,270,90,11.5,252.1,2
Kolhapur District Maharashtra,17-06-2008,27.1,25.9,77.1,5.4,270,100,5.9,259.8,2
Kolhapur District Maharashtra,18-06-2008,27.1,27.1,73.9,5.4,262,70,9.6,247.5,1
Kolhapur District Maharashtra,19-06-2008,27.2,27.1,73.5,5.4,297.4,70,4.9,222.3,1
Kolhapur District Maharashtra,20-06-2008,27.9,27.7,69.3,5.4,260.3,70,1.3,194.3,1
Kolhapur District Maharashtra,21-06-2008,27.4,27.1,71.6,3.6,260,80,2.7,176,1
Kolhapur District Maharashtra,22-06-2008,26.7,26.1,75.7,3.6,270,95,2.6,163,1
Kolhapur District Maharashtra,23-06-2008,28.1,27.4,67.6,3.6,280,65,2.3,118.2,0
Kolhapur District Maharashtra,24-06-2008,26.7,25.4,78.3,5.4,278,90,3.1,100.2,0
Kolhapur District Maharashtra,25-06-2008,27.1,27.1,71.7,5.4,282,90,5.6,89.9,0
Kolhapur District Maharashtra,26-06-2008,25.9,24.7,84.8,3.6,276.6,90,8.4,49.5,0
Kolhapur District Maharashtra,27-06-2008,26.4,25.1,81.7,5.4,300.3,80,7,46.4,0
Kolhapur District Maharashtra,28-06-2008,27.1,25.9,73.6,5.4,270,70,5,47.5,0
Kolhapur District Maharashtra,29-06-2008,26.1,24.4,82.3,5.4,245.8,100,21.3,42.9,0
Kolhapur District Maharashtra,30-06-2008,26.7,25.1,78.4,3.6,280,80,66,59.3,0
Kolhapur District Maharashtra,01-07-2008,25.2,24.7,82.4,5.4,262.6,90,1.8,124,1
Kolhapur District Maharashtra,02-07-2008,25.1,24.9,82,3.6,280,95,12.7,123.1,1
Kolhapur District Maharashtra,03-07-2008,26.7,26.4,75.2,5.4,245.8,80,6,133.2,1
Kolhapur District Maharashtra,04-07-2008,26.1,25.7,76,3.6,260,75,4.8,136.9,1
Kolhapur District Maharashtra,05-07-2008,26.2,26.1,76.5,3.6,270,75,7.4,138.6,1
Kolhapur District Maharashtra,06-07-2008,26.4,25.9,77.3,3.6,270,100,5.6,140.4,1
Kolhapur District Maharashtra,07-07-2008,25.1,24.1,83.7,5.4,285,90,8.9,137.6,1
Kolhapur District Maharashtra,08-07-2008,25.7,25.1,81.4,3.6,280,90,8.7,139.5,1
Kolhapur District Maharashtra,09-07-2008,25.9,24.4,78.6,5.4,278,75,8.5,143.2,1
Kolhapur District Maharashtra,10-07-2008,25.4,25.1,79.8,5.4,270,70,14.9,130.4,1
Kolhapur District Maharashtra,11-07-2008,26.2,24.9,77.5,3.6,256.6,90,10.9,79.3,0
Kolhapur District Maharashtra,12-07-2008,26.7,25.1,76.8,3.6,270,65,7.9,88.4,0
Kolhapur District Maharashtra,13-07-2008,26.4,26.2,76.1,7.6,270,85,8.2,83.6,0
Kolhapur District Maharashtra,14-07-2008,28.1,27.2,70.1,3.6,270,60,1.2,85.8,0
Kolhapur District Maharashtra,15-07-2008,27.2,27.1,70.4,3.6,280,80,0,82.2,0
Kolhapur District Maharashtra,16-07-2008,27.4,27.2,70.9,3.6,270,90,0.3,74.8,0
Kolhapur District Maharashtra,17-07-2008,27.2,27.1,74.2,3.6,270,60,1.9,69.5,0
Kolhapur District Maharashtra,18-07-2008,27.9,27.1,71.6,3.6,256.9,65,1.7,62.5,0
Kolhapur District Maharashtra,19-07-2008,28.1,27.2,69.5,3.6,283.4,70,2.2,55.5,0
